learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;1;2024-01-07 16:50:23;6,9;5,13;0,88
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;2;2024-01-07 16:50:23;4,83;4,46;0,79
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;3;2024-01-07 16:50:23;4,71;4,04;0,69
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;4;2024-01-07 16:50:23;4,68;4,21;0,78
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;5;2024-01-07 16:50:23;4,7;4,06;0,78
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;6;2024-01-07 16:50:23;4,67;3,95;0,75
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;7;2024-01-07 16:50:23;4,64;4,3;0,82
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;8;2024-01-07 16:50:23;4,61;3,96;0,75
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;9;2024-01-07 16:50:23;4,7;4,04;0,82
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;10;2024-01-07 16:50:23;4,6;4,23;0,74
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;11;2024-01-07 16:50:23;4,63;3,94;0,78
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;12;2024-01-07 16:50:23;4,62;4,3;0,76
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;13;2024-01-07 16:50:23;4,59;4,02;0,75
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;14;2024-01-07 16:50:23;4,61;4,06;0,78
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;15;2024-01-07 16:50:23;4,63;3,95;0,83
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;16;2024-01-07 16:50:23;4,56;3,93;0,78
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;17;2024-01-07 16:50:23;4,56;4,08;0,79
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;18;2024-01-07 16:50:23;4,6;3,92;0,79
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;19;2024-01-07 16:50:23;4,56;4,01;0,76
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;1,0;1,0;True;True;20;2024-01-07 16:50:23;4,59;4,02;0,76
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;0,5;1,0;True;True;21;2024-01-07 16:53:51;4,6;4,13;0,78
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;0,5;1,0;True;True;22;2024-01-07 16:53:51;4,57;4,0;0,76
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;0,5;1,0;True;True;23;2024-01-07 16:53:51;4,6;3,92;0,75
0,001;0,01;20;Adam;mean;L1Loss;cuda;64;0,5;1,0;True;True;24;2024-01-07 16:53:51;4,59;4,32;0,78
