learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;1;2024-01-14 11:21:31;7,33;5,99;0,88
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;2;2024-01-14 11:21:31;5,64;5,54;0,87
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;3;2024-01-14 11:21:31;5,26;5,31;0,88
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;4;2024-01-14 11:21:31;5,01;5,09;0,85
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;5;2024-01-14 11:21:31;4,83;4,96;0,84
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;6;2024-01-14 11:21:31;4,7;4,83;0,87
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;7;2024-01-14 11:21:31;4,59;4,78;0,84
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;8;2024-01-14 11:21:31;4,5;4,7;0,84
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;9;2024-01-14 11:21:31;4,42;4,64;0,84
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;10;2024-01-14 11:21:31;4,36;4,59;0,85
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;11;2024-01-14 11:21:31;4,31;4,53;0,82
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;12;2024-01-14 11:21:31;4,26;4,48;0,82
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;13;2024-01-14 11:21:31;4,22;4,5;0,83
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;14;2024-01-14 11:21:31;4,18;4,46;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;15;2024-01-14 11:21:31;4,15;4,4;0,84
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;16;2024-01-14 11:21:31;4,12;4,4;0,82
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;17;2024-01-14 11:21:31;4,09;4,36;0,82
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;18;2024-01-14 11:21:31;4,07;4,35;0,82
